
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             .22688     .11175     .00000     53.333       2173    
Entity 1.NVATime                            .00000     .00000     .00000     .00000       2173    
Entity 1.WaitTime                           37.814     23.065     .00000     14857.       2173    
Entity 1.TranTime                           .00000     .00000     .00000     .00000       2173    
Entity 1.OtherTime                          .00000     .00000     .00000     .00000       2173    
Entity 1.TotalTime                          12.136     (Corr)     .00000     78.591       2173    
Entity 2.VATime                                 --         --         --         --          0
Entity 2.NVATime                                --         --         --         --          0
Entity 2.WaitTime                               --         --         --         --          0
Entity 2.TranTime                               --         --         --         --          0
Entity 2.OtherTime                              --         --         --         --          0
Entity 2.TotalTime                              --         --         --         --          0
Batch 7.Queue.WaitingTime                   .00000     .00000     .00000     .00000       1302    
Hold 60.Queue.WaitingTime                   10.669     (Insuf)    .00000     22.956        152    
Hold 151.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 110.Queue.WaitingTime                  12.582     (Insuf)    .07075     28.733        130    
Hold 136.Queue.WaitingTime                  43.083     (Insuf)    16.604     66.157         36    
Process 64.Queue.WaitingTime                1.3120     (Insuf)    .00000     8.3956         11    
Process 23.Queue.WaitingTime                .20404     .10430     .00000     9.6708        329    
Hold 144.Queue.WaitingTime                  .12564     .07476     .00000     8.8600       2259    
Hold 103.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Batch 22.Queue.WaitingTime                      --         --         --         --          0
Hold 99.Queue.WaitingTime                   .10788     (Insuf)    .00000     .21575          2    
Hold 32.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 58.Queue.WaitingTime                   5.5937     (Insuf)    .00000     16.596        268    
Hold 149.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 108.Queue.WaitingTime                  19.095     (Insuf)    19.095     19.095          1    
Process 77.Queue.WaitingTime                11.247     (Insuf)    .00000     25.833         29    
Process 36.Queue.WaitingTime                .01331     (Insuf)    .00000     .53547         78    
Batch 27.Queue.WaitingTime                  4.5342     (Corr)     .00000     11.158        336    
Hold 40.Queue.WaitingTime                   1.6945     (Insuf)    .08333     3.6666        188    
Hold 157.Queue.WaitingTime                  2.3792     (Insuf)    .00000     4.7584          2    
Hold 116.Queue.WaitingTime                  .12331     (Insuf)    .00000     2.9361         64    
Hold 86.Queue.WaitingTime                   .21965     (Insuf)    .00000     10.207        301    
