SIMAN Run Controller.

1.25 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/27/2016
Analyst: Rockwell Automation                                         Model revision date:10/27/2016

Replication ended at time      : 1.25 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             .10747     (Insuf)    .08333     .18333         58    
Entity 1.NVATime                            .00000     (Insuf)    .00000     .00000         58    
Entity 1.WaitTime                           .29943     (Insuf)    .00000     1.0000         58    
Entity 1.TranTime                           .00000     (Insuf)    .00000     .00000         58    
Entity 1.OtherTime                          .00000     (Insuf)    .00000     .00000         58    
Entity 1.TotalTime                          .40259     (Insuf)    .08333     1.1833         58    
Entity 2.VATime                                 --         --         --         --          0
Entity 2.NVATime                                --         --         --         --          0
Entity 2.WaitTime                               --         --         --         --          0
Entity 2.TranTime                               --         --         --         --          0
Entity 2.OtherTime                              --         --         --         --          0
Entity 2.TotalTime                              --         --         --         --          0
Batch 7.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000        156    
Process 23.Queue.WaitingTime                    --         --         --         --          0
Hold 32.Queue.WaitingTime                       --         --         --         --          0
Hold 40.Queue.WaitingTime                       --         --         --         --          0
Hold 53.Queue.WaitingTime                   .21333     (Insuf)    .00000     .90000          5    
Process 24.Queue.WaitingTime                .21000     (Insuf)    .00000     .50000         25    
Hold 25.Queue.WaitingTime                       --         --         --         --          0
Hold 41.Queue.WaitingTime                   .05714     (Insuf)    .00000     .13333          7    
Hold 38.Queue.WaitingTime                   .25278     (Insuf)    .08333     .41667         30    
Match 7.Queue1.WaitingTime                  .00000     (Insuf)    .00000     .00000         52    
Match 7.Queue2.WaitingTime                  .14583     (Insuf)    .00000     .41667         52    
Match 7.Queue3.WaitingTime                  .14583     (Insuf)    .00000     .41667         52    
Hold 54.Queue.WaitingTime                       --         --         --         --          0
Process 32.Queue.WaitingTime                .28214     (Insuf)    .00000     .65000         14    
Process 25.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         24    
Hold 26.Queue.WaitingTime                       --         --         --         --          0
Hold 34.Queue.WaitingTime                       --         --         --         --          0
Hold 39.Queue.WaitingTime                       --         --         --         --          0
Batch 11.Queue.WaitingTime                  .02348     (Insuf)    .00000     .73333         44    
Hold 55.Queue.WaitingTime                       --         --         --         --          0
Process 33.Queue.WaitingTime                .25000     (Insuf)    .00000     .50000         10    
Process 1.Queue.WaitingTime                     --         --         --         --          0
Hold 42.Queue.WaitingTime                       --         --         --         --          0
Hold 27.Queue.WaitingTime                       --         --         --         --          0
Hold 50.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000         32    
Batch 12.Queue.WaitingTime                  .00806     (Insuf)    .00000     .05000         31    
Hold 48.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000         44    
Process 26.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000         16    
Process 34.Queue.WaitingTime                .06667     (Insuf)    .00000     .16667          5    
Process 2.Queue.WaitingTime                     --         --         --         --          0
