SIMAN Run Controller.

2399.2667 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/28/2016
Analyst: Rockwell Automation                                         Model revision date:10/28/2016

Replication ended at time      : 2399.2667 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             10.350     (Corr)     10.350     10.350       9556    
Entity 1.NVATime                            .00000     .00000     .00000     .00000       9556    
Entity 1.WaitTime                           .00000     .00000     .00000     .00000       9556    
Entity 1.TranTime                           .00000     .00000     .00000     .00000       9556    
Entity 1.OtherTime                          .00000     .00000     .00000     .00000       9556    
Entity 1.TotalTime                          10.350     (Corr)     10.350     10.350       9556    
Entity 2.VATime                                 --         --         --         --          0
Entity 2.NVATime                                --         --         --         --          0
Entity 2.WaitTime                               --         --         --         --          0
Entity 2.TranTime                               --         --         --         --          0
Entity 2.OtherTime                              --         --         --         --          0
Entity 2.TotalTime                              --         --         --         --          0
Batch 7.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000        207    
Hold 60.Queue.WaitingTime                   .77554     (Insuf)    .00000     1.7500         62    
Process 23.Queue.WaitingTime                .03394     (Insuf)    .00000     .31667         55    
Hold 73.Queue.WaitingTime                       --         --         --         --          0
Hold 32.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 58.Queue.WaitingTime                   .64762     (Insuf)    .00000     1.3333         70    
Hold 81.Queue.WaitingTime                   4.9335     (Insuf)    4.9335     4.9335          1    
Hold 40.Queue.WaitingTime                       --         --         --         --          0
Hold 86.Queue.WaitingTime                   .04517     (Insuf)    .00000     1.8166         69    
Hold 94.Queue.WaitingTime                   .26250     (Insuf)    .23333     .31667          4    
Hold 53.Queue.WaitingTime                   .06972     (Insuf)    .00000     2.6301         70    
Hold 79.Queue.WaitingTime                   1.3111     (Insuf)    1.2500     1.3501          3    
Hold 61.Queue.WaitingTime                   .45370     (Insuf)    .00000     .91667         27    
Process 24.Queue.WaitingTime                3.2808     (Insuf)    .00000     6.2668         69    
Batch 15.Queue.WaitingTime                      --         --         --         --          0
Hold 66.Queue.WaitingTime                       --         --         --         --          0
Hold 25.Queue.WaitingTime                   .08317     (Insuf)    .08317     .08317         42    
Hold 74.Queue.WaitingTime                       --         --         --         --          0
Hold 82.Queue.WaitingTime                   3.3000     (Insuf)    .95000     5.6501          2    
Hold 38.Queue.WaitingTime                   .16650     (Insuf)    .16650     .16650         51    
Match 7.Queue1.WaitingTime                  .03744     (Insuf)    .00000     .08333         69    
Match 7.Queue2.WaitingTime                  .04826     (Insuf)    .00000     .16650         69    
Match 7.Queue3.WaitingTime                  .16050     (Insuf)    .00000     .24983         69    
Hold 95.Queue.WaitingTime                   .02166     (Insuf)    .00000     1.8833        207    
Hold 54.Queue.WaitingTime                       --         --         --         --          0
Process 32.Queue.WaitingTime                .83080     (Insuf)    .00000     1.9833         79    
Hold 62.Queue.WaitingTime                   .50804     (Insuf)    .00000     1.0833         56    
Hold 59.Queue.WaitingTime                   .61111     (Insuf)    .00000     1.2500        105    
