SIMAN Run Controller.

0.00016666667 Hours>SIMAN Run Controller.

0.26683333 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 0.26683333 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
Entity 2.VATime                                 --         --         --         --          0
Entity 2.NVATime                                --         --         --         --          0
Entity 2.WaitTime                               --         --         --         --          0
Entity 2.TranTime                               --         --         --         --          0
Entity 2.OtherTime                              --         --         --         --          0
Entity 2.TotalTime                              --         --         --         --          0
Batch 7.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000        312    
Hold 60.Queue.WaitingTime                       --         --         --         --          0
Hold 110.Queue.WaitingTime                      --         --         --         --          0
Hold 136.Queue.WaitingTime                      --         --         --         --          0
Process 23.Queue.WaitingTime                .00000     (Insuf)    .00000     .00000          5    
Hold 103.Queue.WaitingTime                      --         --         --         --          0
Batch 22.Queue.WaitingTime                      --         --         --         --          0
Hold 99.Queue.WaitingTime                       --         --         --         --          0
Hold 32.Queue.WaitingTime                       --         --         --         --          0
Hold 58.Queue.WaitingTime                       --         --         --         --          0
Hold 108.Queue.WaitingTime                      --         --         --         --          0
Process 36.Queue.WaitingTime                    --         --         --         --          0
Batch 27.Queue.WaitingTime                      --         --         --         --          0
Hold 40.Queue.WaitingTime                       --         --         --         --          0
Hold 116.Queue.WaitingTime                      --         --         --         --          0
Hold 86.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          5    
Process 52.Queue.WaitingTime                    --         --         --         --          0
Hold 94.Queue.WaitingTime                       --         --         --         --          0
Hold 53.Queue.WaitingTime                       --         --         --         --          0
Hold 61.Queue.WaitingTime                       --         --         --         --          0
Hold 111.Queue.WaitingTime                      --         --         --         --          0
Hold 137.Queue.WaitingTime                      --         --         --         --          0
Process 24.Queue.WaitingTime                .12500     (Insuf)    .00000     .25000          6    
Hold 25.Queue.WaitingTime                   .08317     (Insuf)    .08317     .08317         43    
Hold 124.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          5    
Hold 109.Queue.WaitingTime                      --         --         --         --          0
Process 37.Queue.WaitingTime                    --         --         --         --          0
Hold 38.Queue.WaitingTime                   .16650     (Insuf)    .16650     .16650         88    
Hold 140.Queue.WaitingTime                      --         --         --         --          0
Match 7.Queue1.WaitingTime                  .06811     (Insuf)    .00000     .08333        104    
Match 7.Queue2.WaitingTime                  .00480     (Insuf)    .00000     .16650        104    
Match 7.Queue3.WaitingTime                  .20899     (Insuf)    .00000     .24983        104    
Hold 54.Queue.WaitingTime                       --         --         --         --          0
Hold 104.Queue.WaitingTime                      --         --         --         --          0
