SIMAN Run Controller.

4.9335 Hours>SIMAN Run Controller.

8.2335 Hours>
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :10/31/2016
Analyst: Rockwell Automation                                         Model revision date:10/31/2016

Replication ended at time      : 8.2335 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             .17271     (Insuf)    .00000     9.9666        148    
Entity 1.NVATime                            .00000     (Insuf)    .00000     .00000        148    
Entity 1.WaitTime                           7.1212     (Insuf)    1.1666     270.74        148    
Entity 1.TranTime                           .00000     (Insuf)    .00000     .00000        148    
Entity 1.OtherTime                          .00000     (Insuf)    .00000     .00000        148    
Entity 1.TotalTime                          3.9782     (Insuf)    1.1666     8.2219        148    
Entity 2.VATime                                 --         --         --         --          0
Entity 2.NVATime                                --         --         --         --          0
Entity 2.WaitTime                               --         --         --         --          0
Entity 2.TranTime                               --         --         --         --          0
Entity 2.OtherTime                              --         --         --         --          0
Entity 2.TotalTime                              --         --         --         --          0
Batch 7.Queue.WaitingTime                   .00000     .00000     .00000     .00000       1074    
Hold 60.Queue.WaitingTime                   6.4623     (Insuf)    6.1498     6.8165         20    
Hold 110.Queue.WaitingTime                      --         --         --         --          0
Hold 136.Queue.WaitingTime                      --         --         --         --          0
Process 23.Queue.WaitingTime                .03949     (Insuf)    .00000     1.0500         92    
Hold 144.Queue.WaitingTime                  .00000     .00000     .00000     .00000        526    
Hold 103.Queue.WaitingTime                      --         --         --         --          0
Batch 22.Queue.WaitingTime                      --         --         --         --          0
Hold 99.Queue.WaitingTime                   2.1831     (Insuf)    2.1831     2.1831          1    
Hold 32.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          1    
Hold 58.Queue.WaitingTime                   3.6527     (Insuf)    3.1666     4.0833         30    
Hold 108.Queue.WaitingTime                      --         --         --         --          0
Process 36.Queue.WaitingTime                .00970     (Insuf)    .00000     .04850          5    
Batch 27.Queue.WaitingTime                      --         --         --         --          0
Hold 40.Queue.WaitingTime                       --         --         --         --          0
