
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             .24478     .14137     .00000     53.333       1656    
Entity 1.NVATime                            .00000     .00000     .00000     .00000       1656    
Entity 1.WaitTime                           33.221     26.550     .00000     14804.       1656    
Entity 1.TranTime                           .00000     .00000     .00000     .00000       1656    
Entity 1.OtherTime                          .00000     .00000     .00000     .00000       1656    
Entity 1.TotalTime                          8.4066     (Corr)     .00000     70.284       1656    
Entity 2.VATime                                 --         --         --         --          0
Entity 2.NVATime                                --         --         --         --          0
Entity 2.WaitTime                               --         --         --         --          0
Entity 2.TranTime                               --         --         --         --          0
Entity 2.OtherTime                              --         --         --         --          0
Entity 2.TotalTime                              --         --         --         --          0
Batch 7.Queue.WaitingTime                   .00000     .00000     .00000     .00000        927    
Hold 60.Queue.WaitingTime                   6.6944     (Insuf)    .00000     12.630        175    
Hold 151.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 110.Queue.WaitingTime                  25.274     (Insuf)    .36935     46.840         64    
Hold 136.Queue.WaitingTime                      --         --         --         --          0
Process 64.Queue.WaitingTime                .52238     (Insuf)    .00000     3.1182          8    
Process 23.Queue.WaitingTime                .13676     (Insuf)    .00000     15.035        313    
Hold 144.Queue.WaitingTime                  .01676     .02987     .00000     4.4855       1809    
Hold 103.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Batch 22.Queue.WaitingTime                      --         --         --         --          0
Hold 99.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          2    
Hold 32.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          3    
Hold 58.Queue.WaitingTime                   14.454     (Insuf)    5.2339     24.046         90    
Hold 149.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 108.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Process 77.Queue.WaitingTime                10.243     (Insuf)    .00000     25.916         39    
Process 36.Queue.WaitingTime                .19491     (Insuf)    .00000     1.3575         60    
Batch 27.Queue.WaitingTime                  7.6762     (Insuf)    .00000     15.401        212    
Hold 40.Queue.WaitingTime                   .29545     (Insuf)    .08333     .58333         44    
Hold 157.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 116.Queue.WaitingTime                  .19785     (Insuf)    .00000     3.7620         64    
Hold 86.Queue.WaitingTime                   1.0725     (Insuf)    .00000     3.3739        198    
