
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             .19547     .07752     .00000     53.333       3527    
Entity 1.NVATime                            .00000     .00000     .00000     .00000       3527    
Entity 1.WaitTime                           21.172     13.284     .00000     14552.       3527    
Entity 1.TranTime                           .00000     .00000     .00000     .00000       3527    
Entity 1.OtherTime                          .00000     .00000     .00000     .00000       3527    
Entity 1.TotalTime                          5.0394     (Corr)     .00000     69.048       3527    
Entity 2.VATime                                 --         --         --         --          0
Entity 2.NVATime                                --         --         --         --          0
Entity 2.WaitTime                               --         --         --         --          0
Entity 2.TranTime                               --         --         --         --          0
Entity 2.OtherTime                              --         --         --         --          0
Entity 2.TotalTime                              --         --         --         --          0
Batch 7.Queue.WaitingTime                   .00000     .00000     .00000     .00000        927    
Hold 60.Queue.WaitingTime                   3.2012     (Corr)     .00000     10.096        425    
Hold 151.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 110.Queue.WaitingTime                  4.7922     (Insuf)    .50000     10.107        250    
Hold 136.Queue.WaitingTime                  15.820     (Insuf)    15.514     16.126         21    
Process 64.Queue.WaitingTime                1.8535     (Insuf)    .00000     17.882         16    
Process 23.Queue.WaitingTime                .08487     .03165     .00000     6.2152        419    
Hold 144.Queue.WaitingTime                  .00000     .00000     .00000     .00000       2752    
Hold 103.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Batch 22.Queue.WaitingTime                      --         --         --         --          0
Hold 99.Queue.WaitingTime                   .09901     (Insuf)    .00000     .19802          2    
Hold 32.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          5    
Hold 58.Queue.WaitingTime                   3.6766     (Corr)     .00000     8.8333        361    
Hold 149.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 108.Queue.WaitingTime                  2.4477     (Insuf)    .00000     4.8954          2    
Process 77.Queue.WaitingTime                10.242     (Insuf)    .00000     26.000         39    
Process 36.Queue.WaitingTime                .16129     (Insuf)    .00000     1.5021        117    
Batch 27.Queue.WaitingTime                  3.5441     (Corr)     .00000     8.8333        336    
Hold 40.Queue.WaitingTime                   .26709     (Insuf)    .08333     .50000         39    
Hold 157.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 116.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         64    
Hold 86.Queue.WaitingTime                   .10401     (Insuf)    .00000     3.4286        309    
