
                                      ARENA Simulation Results
                                   Regulo A - License: 7328734345

                                  Summary for Replication 1 of 20

Project: Unnamed Project                                             Run execution date :11/16/2016
Analyst: Rockwell Automation                                         Model revision date:11/16/2016

Replication ended at time      : 120.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             .19453     (Corr)     .00000     53.333       3481    
Entity 1.NVATime                            .00000     .00000     .00000     .00000       3481    
Entity 1.WaitTime                           26.699     13.024     .00000     14779.       3481    
Entity 1.TranTime                           .00000     .00000     .00000     .00000       3481    
Entity 1.OtherTime                          .00000     .00000     .00000     .00000       3481    
Entity 1.TotalTime                          5.5489     (Corr)     .00000     112.90       3481    
Entity 2.VATime                                 --         --         --         --          0
Entity 2.NVATime                                --         --         --         --          0
Entity 2.WaitTime                               --         --         --         --          0
Entity 2.TranTime                               --         --         --         --          0
Entity 2.OtherTime                              --         --         --         --          0
Entity 2.TotalTime                              --         --         --         --          0
Batch 7.Queue.WaitingTime                   .00000     .00000     .00000     .00000        927    
Hold 60.Queue.WaitingTime                   7.6191     (Insuf)    .00000     25.451        301    
Hold 151.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 110.Queue.WaitingTime                  6.4928     (Insuf)    .00000     21.027        166    
Hold 136.Queue.WaitingTime                  .76574     (Insuf)    .00000     1.6666         84    
Process 64.Queue.WaitingTime                .06499     (Insuf)    .00000     .32213         16    
Process 23.Queue.WaitingTime                .08497     .04749     .00000     9.6329        419    
Hold 144.Queue.WaitingTime                  .00000     .00000     .00000     .00000       2751    
Hold 103.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Batch 22.Queue.WaitingTime                      --         --         --         --          0
Hold 99.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          2    
Hold 32.Queue.WaitingTime                   .00000     (Insuf)    .00000     .00000          3    
Hold 58.Queue.WaitingTime                   9.8883     (Insuf)    .00000     29.634        308    
Hold 149.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          1    
Hold 108.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Process 77.Queue.WaitingTime                10.294     (Insuf)    .00000     26.000         39    
Process 36.Queue.WaitingTime                .98209     (Insuf)    .00000     3.8144        115    
Batch 27.Queue.WaitingTime                  6.3230     (Corr)     .00000     17.673        336    
Hold 40.Queue.WaitingTime                   .31206     (Insuf)    .08333     .66667         47    
Hold 157.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000          2    
Hold 116.Queue.WaitingTime                  .00000     (Insuf)    .00000     .00000         64    
Hold 86.Queue.WaitingTime                   .33202     (Insuf)    .00000     14.135        309    
